genres,title,release_date,price,early_access,sentiment,metascore
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,4.99,False,Sin comentarios,0.0
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,0.99,False,Sin comentarios,0.0
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,3.99,False,Mixed,0.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018-01-04,9.99,False,Sin comentarios,0.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,18.99,False,Sin comentarios,0.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,29.99,False,Sin comentarios,0.0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,False,Sin comentarios,0.0
"['Casual', 'Indie']",Beach Rules,2018-01-04,3.99,False,Sin comentarios,0.0
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,2.99,False,Sin comentarios,0.0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,1.59,False,1 user reviews,0.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,14.99,False,Sin comentarios,0.0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,1.99,False,Sin comentarios,0.0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,59.99,False,Sin comentarios,0.0
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,0.99,False,3 user reviews,0.0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,2.99,False,Sin comentarios,0.0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,2.99,False,Sin comentarios,0.0
"['Action', 'Indie']",DinoBlaster,2018-01-03,4.99,False,Sin comentarios,0.0
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,9.99,False,Very Positive,0.0
['Action'],Half-Life,1998-11-08,9.99,False,Overwhelmingly Positive,96.0
"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,1.99,False,Sin comentarios,0.0
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,0.99,False,Mostly Positive,0.0
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018-01-01,8.99,False,Sin comentarios,0.0
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,0.99,False,Mixed,0.0
['Strategy'],Disciples II: Gallean's Return,2006-07-06,6.99,False,Mostly Positive,84.0
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,6.99,False,Very Positive,80.0
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,9.99,False,Very Positive,76.0
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,7.99,True,Sin comentarios,0.0
